time,sun_exposure,x+,x-,y+,y-,z+,z-
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0019444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0030555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036111111111111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01138888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013611111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014722222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015277777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
